decision,approved_rule,phase,implementation_status,primary_existing_control,verification_gate,governance_rule_status,operational_detail_status
1,"Use delegated approval by document risk class. CEO and COO approval is not required on every document. Enterprise doctrine, major policy, safety-critical standards, and high-risk controls require executive approval. Routine forms, TBTs, and departmental procedures may be issued under approved delegated authority.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
2,"Metadata records the approving position, not the officeholder. Use `CEO` as the authority where CEO approval is required. Approval evidence may record Jeremy Thamert as the officeholder at the time of approval.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
3,"Todd Shoeff is not Co-Editor on every governed document. Assign him only where estimating, preconstruction, systems, dashboards, or his actual subject-matter role warrants editorial participation.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
4,Packages may advance independently. Preserve the ten-package taxonomy while tracking lifecycle at the package and individual-document levels.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
5,The effective date begins only after all required approvals are complete and the approved controlled publication is released. Publication is the operational trigger.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
6,`DRAFT | NOT CONTROLLED` means development/reference only and is not enforceable. Operational exceptions require a separately controlled interim or temporary instruction.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
7,"Establish an expedited approval path for emergency, safety-critical, legal, and operational controls. Each action requires traceable authority, review, expiration, distribution, and permanent disposition.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
8,"Temporary deviations may be issued only by a role authorized for the document and risk class. The record must identify the affected document, justification, risk controls, start date, expiration, distribution, and closure. The default maximum duration is 30 days unless a shorter safety or legal limit applies.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
9,"Do not assign permanent Document IDs merely because records exist. Assign permanent IDs after document identity and classification are sufficiently established, but before controlled issuance. Use staging inventory IDs until then.",1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
10,Reconcile and group the 141 new TBTs before permanent IDs are locked. Preserve the current sequence as lineage evidence. Establish permanent numbering after duplicate and topic-family review.,1,IMPLEMENTED_PHASE_1,Governance Standard / RACI / Master Index / schema / metadata,"DOCX/PDF, metadata, register, package, and visual QA",IMPLEMENTED_PHASE_1,NOT_REQUIRED_FOR_PHASE_1_BASELINE
