Inventory Record ID,Document ID,Document ID Status,Baseline Package,Version,Lifecycle,QR Required,Class Basis,QR Target Ready,QR Verification Ready,Resolver Ready,QR Hard Blocker,Target Status,Verification Status,Development Note
mh-corporate-risk-management-playbook-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-ecosystem-governance-and-document-control-standard-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-enterprise-master-document-index-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-operations-manual-raci-appendix-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-operations-manual-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-quality-management-plan-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-revision-history-block-template-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-rm01-bonding-addendum-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-workforce-development-matrix-v1-0-draft,,NOT_ESTABLISHED,01-core-doctrine,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-bidpilot-sales-estimating-preconstruction-standard-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-branding-terminology-library-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-event-and-community-outreach-program-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-marketing-flight-program-standard-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-marketing-strategy-guide-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-sales-estimating-guide-v1-0-draft,,NOT_ESTABLISHED,02-strategy-and-business-dev,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-estimating-bid-package-guide-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-financial-controls-guide-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-pep-ccp-and-warranty-addendum-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-project-execution-playbook-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-sssp-preconstruction-handoff-addendum-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-subcontractor-management-manual-v1-0-draft,,NOT_ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
pep-f-01-5-sales-to-ops-handoff-v1-0-draft,PEP-F-01.5,ESTABLISHED,03-project-delivery,1.0,Rough Draft,CONDITIONAL,Governance or management class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-emergency-response-plan-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
mh-equipment-fleet-management-manual-v1-0-draft,,NOT_ESTABLISHED,04-safety-and-field-ops,1.0,Rough Draft,CONDITIONAL,Operational control; class review required,NO,NO,NO,NO,NOT_ESTABLISHED,NOT_VERIFIED,Governance development only; no target approved
