controlled_path,inventory_record_id,permanent_document_id,document_id_status,enterprise_uid,package,version,lifecycle_status,supersession_status,operational_validity,archive_status,docx_present,pdf_present,pdf_physical_pages,page_number_format,chapter_labels,owner_position,schema_version,build_unit,docx_sha256,pdf_sha256
01-core-doctrine/gov-f-04-1-record-retention-and-disposition-authorization-v1-0-draft.docx,gov-f-04-1-record-retention-and-disposition-authorization,GOV-F-04.1,ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,1,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,24d4f72a3d727191ffaad2e6da4313ba85581e4c18b06b26181ad791c449c6ce,36b8cbb5f34f9b303861a4f515c56af0f2ef74b131552e39531a2529504dbf02
01-core-doctrine/mh-corporate-risk-management-playbook-v1-0-draft.docx,mh-corporate-risk-management-playbook,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,7,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,efb8515c25e475c03556717a7558b76ae4ca58251b6fb26bf382b47b6b8ad035,bff3cc420f16b8d60d378a3ea03b93faef292be9bd457572944590dbabf32d9f
01-core-doctrine/mh-ecosystem-governance-and-document-control-standard-v1-0-draft.docx,mh-ecosystem-governance-and-document-control-standard,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,7,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,3fb7dcbbd292f598036a31f368c3c9cf21a449e47d98ed78c551f1b5927f035f,7686aa923d001527f67c642ab9ee995cf045de114e9746ba9514539b8834a95c
01-core-doctrine/mh-enterprise-master-document-index-v1-0-draft.docx,mh-enterprise-master-document-index,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,4,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,d746541ac6d006cee85648f053776a1fd7b02ae1022982d5bf6330db1d0e016f,f27bb27d4b6a7f0dae956178a1da1e1739d2f2b94365d15e304c47b9fb8a1ef8
01-core-doctrine/mh-operations-manual-raci-appendix-v1-0-draft.docx,mh-operations-manual-raci-appendix,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,4,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,8fe4f421e59835035bc6763e85fa88274f5571c5c4af599d1433d992cfccea7b,13597be8d2fd56df5f7d7835b8730b5852bac117745bb83bbd66f5cd6dff2eae
01-core-doctrine/mh-operations-manual-v1-0-draft.docx,mh-operations-manual,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,42,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,0c6f83119ec3ffce139e6916e0be5e01ef8f5a4cda1b02c9f892fe21b9cd327c,3c9af34e2ed482ab740a1f2ddbb3437f39bc084460d6fef510ecff0d94f18813
01-core-doctrine/mh-revision-history-block-template-v1-0-draft.docx,mh-revision-history-block-template,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,3,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,780533c570c343e7d11a9de3effc0894fe45b1940b02ff18b2dab78b138d8ba3,4500122248aaf0945eed296b824db4aae62243044951f60365cc903584dcae82
01-core-doctrine/mh-rm01-bonding-addendum-v1-0-draft.docx,mh-rm01-bonding-addendum,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,4,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,b4cfdae5014008c5b9ff9b2ab99594d43d8f086523058930f292817d118bd68f,60bf6a66442647689b06c68e36230dc93fe19b938a255ba3cba7e64bbe829403
01-core-doctrine/mh-workforce-development-matrix-v1-0-draft.docx,mh-workforce-development-matrix,,NOT_ESTABLISHED,,01-core-doctrine,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,7,Page X of Y,01-core-doctrine,Document Control,2.2-development,Build Manifest controlled,b8eab230a19ec19641f77f91bb2055ad7da919ab109db5f8826ec99d7e167888,461b1719b1ff50c17f2023904aa5e68014e3c8a1e16fd280f5b7443c1c1c1315
02-strategy-and-business-dev/mh-bidpilot-sales-estimating-preconstruction-standard-v1-0-draft.docx,mh-bidpilot-sales-estimating-preconstruction-standard,,NOT_ESTABLISHED,,02-strategy-and-business-dev,1.0,DRAFT,NOT_SUPERSEDED,NOT_APPLICABLE,ACTIVE,YES,YES,6,Page X of Y,02-strategy-and-business-dev,Document Control,2.2-development,Build Manifest controlled,45340f62bc64e73eab606b7169378c753ed3145cc57362d7279a1da5773f7bd6,011a54cd786453104f07c7b83307542526917a969e1f293197b478bd40535ef2
