inventoryRecordId,documentId,documentIdStatus,title,filenameStem,version,lifecycleStatus,controlStatus,category,package,legacySourceArchive,legacySourceMember,legacyPublisher,adaptationMethod,sourceTextCopied,qrRequired,qrTargetStatus,schemaVersion
legacy-tbt-001,,MANAGEMENT_REVIEW,Fall Causes,tbt-source-001-fall-causes-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/001-Fall Causes.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-002,,MANAGEMENT_REVIEW,Slips & Trips,tbt-source-002-slips-and-trips-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/002-Slips & Trips.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-003,,MANAGEMENT_REVIEW,"Stairways, Aisles & Walkways",tbt-source-003-stairways-aisles-and-walkways-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,"Reagan/English Safety Meetings Outlines/003-Stairways, Ailes & Walkways.pdf","Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-004,,MANAGEMENT_REVIEW,Guardrails,tbt-source-004-guardrails-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/004-Gaurdrails.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-005,,MANAGEMENT_REVIEW,Fall Protection,tbt-source-005-fall-protection-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/005-Fall Protection.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-006,,MANAGEMENT_REVIEW,Personal Fall Arrest Systems,tbt-source-006-personal-fall-arrest-systems-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/006-Personal Fall Arrest Systems.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-007,,MANAGEMENT_REVIEW,Holes & Floor Openings,tbt-source-007-holes-and-floor-openings-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Fall Prevention,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/007-Holes & Floor Openings.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-008,,MANAGEMENT_REVIEW,Ladders,tbt-source-008-ladders-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/008-Ladders.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-009,,MANAGEMENT_REVIEW,Ladder Safety,tbt-source-009-ladder-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/009-Ladder Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-010,,MANAGEMENT_REVIEW,Step up to Safety,tbt-source-010-step-up-to-safety-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,General Construction Safety,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/010-Step up to Safety.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-011,,MANAGEMENT_REVIEW,Use & Erection of Ladders,tbt-source-011-use-and-erection-of-ladders-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/011-Use & Erection of Ladders.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
legacy-tbt-012,,MANAGEMENT_REVIEW,Scaffolding I,tbt-source-012-scaffolding-i-v3-0-draft,3.0,DRAFT,NOT_CONTROLLED,Ladders and Scaffolds,06-tbt-library,Tool Box Talks.zip,Reagan/English Safety Meetings Outlines/012-Scaffolding I.pdf,"Safety Meeting Outlines, Inc.",TOPIC_HEADING_ONLY_ORIGINAL_MH_CONTENT,NO,YES,NOT_ESTABLISHED,2.2-development
