staging_inventory_id,source_filename,topic_family,script_role,permanent_document_id_status,lineage_preserved,management_action
tbt-01-01-hazard-communication-and-ghs,tbt-01-01-hazard-communication-and-ghs-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-02-respiratory-protection,tbt-01-02-respiratory-protection-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-03-hearing-conservation,tbt-01-03-hearing-conservation-v1-0-draft.docx,PPE,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-04-executing-site-emergency-drills,tbt-01-04-executing-site-emergency-drills-v1-0-draft.docx,EMERGENCY_FIRST_AID,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-05-fall-protection-and-elevated-work,tbt-01-05-fall-protection-and-elevated-work-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-06-scaffolding-safety-and-inspections,tbt-01-06-scaffolding-safety-and-inspections-v1-0-draft.docx,LADDERS_SCAFFOLDS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-07-subcontractor-site-coordination-and-stacking,tbt-01-07-subcontractor-site-coordination-and-stacking-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-08-enforcing-subcontractor-prequalification,tbt-01-08-enforcing-subcontractor-prequalification-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-09-change-order-scope-and-safety-review,tbt-01-09-change-order-scope-and-safety-review-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-10-closeout-punch-list-safety-focus,tbt-01-10-closeout-punch-list-safety-focus-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-11-housekeeping-and-slip-trip-fall-prevention,tbt-01-11-housekeeping-and-slip-trip-fall-prevention-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-12-heat-illness-prevention-and-hydration,tbt-01-12-heat-illness-prevention-and-hydration-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-13-cold-weather-operations-and-frostbite,tbt-01-13-cold-weather-operations-and-frostbite-v1-0-draft.docx,WEATHER_HEALTH,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-14-severe-weather-and-lightning-stand-down,tbt-01-14-severe-weather-and-lightning-stand-down-v1-0-draft.docx,WEATHER_HEALTH,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-15-mental-health-and-fatigue-awareness,tbt-01-15-mental-health-and-fatigue-awareness-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-16-wind-safety-crane-limits,tbt-01-16-wind-safety-crane-limits-v1-0-draft.docx,WEATHER_HEALTH,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-17-fall-protection-elevated-work,tbt-01-17-fall-protection-elevated-work-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-18-confined-space-entry-rebuilt,tbt-01-18-confined-space-entry-rebuilt-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-01-19-fall-protection-confined-spaces,tbt-01-19-fall-protection-confined-spaces-v1-0-draft.docx,FALL_PROTECTION,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-02-01-demolition-and-structural-stability,tbt-02-01-demolition-and-structural-stability-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-03-01-concrete-pouring-and-silica-exposure,tbt-03-01-concrete-pouring-and-silica-exposure-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-03-02-pre-cast-concrete-and-tilt-up-operations,tbt-03-02-pre-cast-concrete-and-tilt-up-operations-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-03-03-concrete-pump-truck-operations,tbt-03-03-concrete-pump-truck-operations-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-03-04-concrete-formwork-and-rebar-impalement,tbt-03-04-concrete-formwork-and-rebar-impalement-v1-0-draft.docx,CONSTRUCTION_OPERATIONS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-04-01-masonry-wall-bracing-and-scaffolding,tbt-04-01-masonry-wall-bracing-and-scaffolding-v1-0-draft.docx,LADDERS_SCAFFOLDS,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-04-02-masonry-saw-operations-and-kickback,tbt-04-02-masonry-saw-operations-and-kickback-v1-0-draft.docx,TOOLS_EQUIPMENT,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-05-01-steel-erection-and-decking-safety,tbt-05-01-steel-erection-and-decking-safety-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-05-02-hot-work-and-welding-fire-watch,tbt-05-02-hot-work-and-welding-fire-watch-v1-0-draft.docx,FIRE_HOT_WORK,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
tbt-05-03-structural-steel-bolting-and-torquing,tbt-05-03-structural-steel-bolting-and-torquing-v1-0-draft.docx,GENERAL_FIELD_SAFETY,CONTROLLED_SCRIPT,RETAIN_EXISTING,YES,Topic-family review before permanent numbering
